score,t
[-867.10142409],200
[-1181.02504847],400
[-1312.05983234],600
[-1208.94382625],800
[-1578.54050236],1000
[-1620.24461476],1200
[-1441.8686394],1400
[-1580.40228273],1600
[-1603.13899767],1800
[-1773.85237437],2000
[-1400.82251564],2200
[-1288.05063592],2400
[-1196.54657392],2600
[-1416.30993519],2800
[-757.6025936],3000
[-744.83416331],3200
[-754.92631074],3400
[-1062.74209897],3600
[-1227.61284724],3800
[-1242.47058976],4000
[-1233.75447738],4200
[-980.8536395],4400
[-1358.26940578],4600
[-1174.25437028],4800
[-1378.68866534],5000
[-1352.46747016],5200
[-1485.73512176],5400
[-1330.80807272],5600
[-1210.16583888],5800
[-1422.61747193],6000
[-1344.948007],6200
[-1424.43162491],6400
[-1387.79132507],6600
[-1486.72406549],6800
[-1320.93164713],7000
[-1352.57403111],7200
[-1271.30235602],7400
[-1292.64219675],7600
[-1351.76052274],7800
[-1197.06278448],8000
[-1279.99956247],8200
[-1287.82529166],8400
[-1169.33948246],8600
[-1171.32161542],8800
[-1183.70136611],9000
[-1166.44851118],9200
[-1054.20551783],9400
[-1156.33656933],9600
[-913.4265476],9800
[-1039.74182369],10000
[-850.93553478],10200
[-877.46998585],10400
[-1007.55412055],10600
[-993.13361847],10800
[-636.12162356],11000
[-640.72543153],11200
[-754.31500974],11400
[-765.64121684],11600
[-630.03692082],11800
[-746.94760471],12000
[-864.69025345],12200
[-854.97220128],12400
[-758.57753311],12600
[-864.78698822],12800
[-1070.84220858],13000
[-998.17042766],13200
[-856.02412265],13400
[-998.29643337],13600
[-984.00234897],13800
[-736.77088808],14000
[-752.24730064],14200
[-854.8412912],14400
[-974.79735645],14600
[-866.47232352],14800
[-811.86018953],15000
[-854.2685282],15200
[-751.81054286],15400
[-867.36846304],15600
[-904.46583332],15800
[-990.58657417],16000
[-751.78142627],16200
[-631.45858399],16400
[-869.03005889],16600
[-402.7303891],16800
[-858.63856629],17000
[-752.9789847],17200
[-746.33833166],17400
[-619.74556632],17600
[-756.38231671],17800
[-836.44738068],18000
[-882.65708176],18200
[-855.40916568],18400
[-745.56383542],18600
[-833.8755465],18800
[-604.05923538],19000
[-687.73650419],19200
[-705.72078346],19400
[-623.52730809],19600
[-863.76135886],19800
[-848.20353599],20000
